epoch,loss,val_loss
0,0.0196219424714,0.0156298197576
1,3.24717618282,0.0322753755835
2,0.0336279575539,0.0334968698928
3,0.0339996900564,0.0324067986607
4,0.0339706083377,0.0338455507133
0,0.0210029045553,0.0196801287019
1,0.0177517371058,0.0190680015763
2,0.0173487489544,0.0197381447932
3,0.0171393269354,0.0196859411343
4,0.0171387593298,0.0186362769731
5,0.0167870225569,0.0184142582808
6,0.016842849126,0.0194619893614
7,0.0166215675031,0.0182806974001
8,0.0164201300655,0.0182196600984
9,0.0164714997176,0.017673091004
10,1.08127473319,0.0389113753482
11,0.0302297024202,0.0255735778077
12,0.02497823039,0.0241228761841
13,0.0231209748184,0.0212002457223
